seed,policy,epoch,train_loss,train_accuracy,val_accuracy
7,Sem augmentation,1,1.9231007146835326,80.25000095367432,79.90000247955322
7,Sem augmentation,2,1.1196734914779662,83.99999737739563,81.49999976158142
7,Sem augmentation,3,0.6930333127975464,87.44999766349792,84.89999771118164
7,Sem augmentation,4,0.5151467089653015,89.20000195503235,87.8000020980835
7,Sem augmentation,5,0.42451733922958373,91.75000190734863,88.20000290870667
7,Sem augmentation,6,0.3697434239387512,91.94999933242798,88.59999775886536
7,Sem augmentation,7,0.3262257490158081,93.69999766349792,89.49999809265137
7,Sem augmentation,8,0.2922096819877624,94.0500020980835,89.99999761581421
7,Sem augmentation,9,0.2650911135673523,94.84999775886536,90.10000228881836
7,Sem augmentation,10,0.24363977718353272,95.14999985694885,89.80000019073486
7,Sem augmentation,11,0.22864357233047486,95.3000009059906,90.6000018119812
7,Sem augmentation,12,0.21230920815467835,95.59999704360962,90.49999713897705
7,Sem augmentation,13,0.19265040123462676,95.95000147819519,90.49999713897705
7,Sem augmentation,14,0.177794260263443,96.49999737739563,90.89999794960022
7,Sem augmentation,15,0.16825104999542237,96.74999713897705,89.99999761581421
7,Affine leve,1,2.0711940784454344,75.59999823570251,73.19999933242798
7,Affine leve,2,1.5695391988754273,78.1499981880188,76.49999856948853
7,Affine leve,3,1.2417088317871094,81.95000290870667,79.50000166893005
7,Affine leve,4,1.0581430282592774,83.89999866485596,83.39999914169312
7,Affine leve,5,1.0164374914169312,84.95000004768372,84.7000002861023
7,Affine leve,6,0.9776267366409301,85.9499990940094,85.39999723434448
7,Affine leve,7,0.9159255948066711,87.30000257492065,86.50000095367432
7,Affine leve,8,0.8645509948730469,88.24999928474426,88.40000033378601
7,Affine leve,9,0.8546759853363037,88.80000114440918,88.09999823570251
7,Affine leve,10,0.8200774927139283,88.99999856948853,87.69999742507935
7,Affine leve,11,0.7978629035949707,89.34999704360962,88.80000114440918
7,Affine leve,12,0.7887458500862121,90.10000228881836,87.99999952316284
7,Affine leve,13,0.7550111193656921,90.14999866485596,88.20000290870667
7,Affine leve,14,0.7495576648712158,90.6499981880188,89.0999972820282
7,Affine leve,15,0.7045649709701538,90.70000052452087,88.40000033378601
7,Cutout,1,1.9537147636413574,80.09999990463257,78.29999923706055
7,Cutout,2,1.1876065826416016,83.70000123977661,81.09999895095825
7,Cutout,3,0.7763484296798706,86.94999814033508,84.3999981880188
7,Cutout,4,0.5981900310516357,88.7499988079071,87.09999918937683
7,Cutout,5,0.5141634500026703,90.6000018119812,87.59999871253967
7,Cutout,6,0.4574591760635376,91.29999876022339,88.89999985694885
7,Cutout,7,0.4102537875175476,92.40000247955322,88.89999985694885
7,Cutout,8,0.3812339837551117,92.84999966621399,89.89999890327454
7,Cutout,9,0.37502174520492554,93.50000023841858,89.49999809265137
7,Cutout,10,0.35470085573196414,93.80000233650208,89.60000276565552
7,Cutout,11,0.3231607275009155,94.24999952316284,89.80000019073486
7,Cutout,12,0.3144019148349762,94.90000009536743,89.80000019073486
7,Cutout,13,0.29338169491291044,94.84999775886536,90.49999713897705
7,Cutout,14,0.2894919047355652,95.3499972820282,90.49999713897705
7,Cutout,15,0.28611161613464353,95.49999833106995,89.80000019073486
7,Mixup,1,2.0266729793548586,80.0499975681305,79.19999957084656
7,Mixup,2,1.4417341899871827,83.20000171661377,80.80000281333923
7,Mixup,3,1.0574006261825561,85.75000166893005,83.30000042915344
7,Mixup,4,0.9576097774505615,88.05000185966492,86.19999885559082
7,Mixup,5,0.9611224427223205,89.3999993801117,86.40000224113464
7,Mixup,6,0.9383534865379334,90.39999842643738,88.30000162124634
7,Mixup,7,0.875813286781311,91.25000238418579,87.8000020980835
7,Mixup,8,0.8488761749267578,92.10000038146973,88.99999856948853
7,Mixup,9,0.744252161026001,93.19999814033508,89.20000195503235
7,Mixup,10,0.7664963932037353,92.5000011920929,88.89999985694885
7,Mixup,11,1.0319214329719544,93.19999814033508,89.60000276565552
7,Mixup,12,0.7561488928794861,93.99999976158142,89.3999993801117
7,Mixup,13,0.6453939800262452,94.24999952316284,90.20000100135803
7,Mixup,14,0.7084388780593872,94.19999718666077,89.89999890327454
7,Mixup,15,0.7802570396661759,94.34999823570251,89.60000276565552
7,Rotacao 180,1,2.0709542779922487,58.95000100135803,56.40000104904175
7,Rotacao 180,2,1.5307893810272217,67.35000014305115,65.89999794960022
7,Rotacao 180,3,1.1702103776931763,66.69999957084656,65.70000052452087
7,Rotacao 180,4,0.9846052627563476,74.55000281333923,72.10000157356262
7,Rotacao 180,5,0.8778222818374634,77.20000147819519,75.19999742507935
7,Rotacao 180,6,0.8039655017852784,78.60000133514404,76.30000114440918
7,Rotacao 180,7,0.7490021839141846,79.6999990940094,76.30000114440918
