policy,test_accuracy_mean,test_accuracy_std,shifted_accuracy_mean,shifted_accuracy_std
Sem augmentation,90.06666739781697,0.3013879063151924,39.5333339770635,0.37859413217344345
Affine leve,89.41666682561238,0.9291577639532812,65.38333296775818,0.361708644346084
Cutout,89.60000077883403,0.2291303871855312,40.20000000794729,1.0758713229501093
Mixup,88.91666730244954,0.321454286153514,39.56666588783264,0.5346331261099272
Rotacao 180,82.94999996821086,0.47696783370093443,43.9166655143102,0.964797028557079
