policy,clean_accuracy_mean,clean_accuracy_std,shift_accuracy_mean,shift_accuracy_std,dark_accuracy_mean,dark_accuracy_std,vs_none_mean_pp,vs_none_std_pp,vs_geometry_mean_pp,vs_geometry_std_pp
Sem augmentation,60.736666123072304,2.1392812813756095,41.933332880338035,5.783531630539119,54.26666537920634,1.3187981076761144,0.0,0.0,-0.3000001112620036,1.5291503763440175
Geometria,61.03666623433431,1.3644161099700376,45.45666575431824,3.8881138284847467,53.1766672929128,1.1914006393183472,0.3000001112620036,1.5291503763440175,0.0,0.0
Geometria + cor,62.07666794459025,2.098033107655182,44.383333126703896,2.2982898099273523,58.786668380101524,1.5091830716258776,1.3400018215179443,0.7607897988995352,1.0400017102559407,1.0311677272058528
Geometria + Cutout,60.80666581789652,1.1469263917572574,46.483333905537926,1.9665793270004899,52.98333168029785,0.1115042063143607,0.06999969482421875,2.4435417050675614,-0.23000041643778482,0.9923187050467742
Geometria + Mixup,58.719998598098755,1.370109403098467,41.65333310763041,5.441621455319886,52.893332640329994,1.823660343834908,-2.0166675249735513,0.804071404690455,-2.316667636235555,0.8799057584938701
Geometria + CutMix,55.99333246548971,1.2236139521263323,45.193333427111305,3.142567409135623,44.94666655858358,0.8173334179179831,-4.743333657582601,1.9032699427628321,-5.0433337688446045,0.4006669438435272
