seed,policy,epoch,train_loss,validation_accuracy
7,Sem augmentation,1,1.9563278322219848,38.4799987077713
7,Sem augmentation,2,1.6012270174238417,44.26000118255615
7,Sem augmentation,3,1.472934824180603,48.19999933242798
7,Sem augmentation,4,1.3991607559627957,49.84000027179718
7,Sem augmentation,5,1.3366793924543592,51.579999923706055
7,Sem augmentation,6,1.2951887454562716,54.43999767303467
7,Sem augmentation,7,1.2437996608098347,54.79999780654907
7,Sem augmentation,8,1.2130054797914294,56.33999705314636
7,Sem augmentation,9,1.1748814927207099,56.300002336502075
7,Sem augmentation,10,1.1394709929996067,57.95999765396118
7,Sem augmentation,11,1.1163761316935221,57.94000029563904
7,Sem augmentation,12,1.0841035985734728,58.96000266075134
7,Sem augmentation,13,1.0542526011043125,58.60000252723694
7,Sem augmentation,14,1.0242867469363743,60.519999265670776
7,Sem augmentation,15,1.0038659139103359,60.680001974105835
7,Sem augmentation,16,0.9758788315878975,61.239999532699585
7,Sem augmentation,17,0.9525678798251682,61.73999905586243
7,Sem augmentation,18,0.937716149573856,61.260002851486206
7,Sem augmentation,19,0.9182402178870307,62.00000047683716
7,Sem augmentation,20,0.8980763920466105,62.300002574920654
7,Geometria,1,2.013722089788649,37.139999866485596
7,Geometria,2,1.710389820543925,44.40000057220459
7,Geometria,3,1.58658323703342,44.999998807907104
7,Geometria,4,1.5152643500010172,46.97999954223633
7,Geometria,5,1.4694085942374335,50.90000033378601
7,Geometria,6,1.438779157363044,52.70000100135803
7,Geometria,7,1.4074949888865154,51.899999380111694
7,Geometria,8,1.3853795086330838,53.88000011444092
7,Geometria,9,1.369796504275004,54.43999767303467
7,Geometria,10,1.3450320780648126,55.68000078201294
7,Geometria,11,1.3264084280437893,55.73999881744385
7,Geometria,12,1.3094987756941054,56.73999786376953
7,Geometria,13,1.2944029336293539,56.72000050544739
7,Geometria,14,1.273324227756924,58.27999711036682
7,Geometria,15,1.2601221366034614,59.119999408721924
7,Geometria,16,1.2423080435011122,59.16000008583069
7,Geometria,17,1.2296667363484701,59.71999764442444
7,Geometria,18,1.2159463307274712,59.71999764442444
7,Geometria,19,1.199234482383728,61.080002784729004
7,Geometria,20,1.1917193111207751,60.47999858856201
7,Geometria + cor,1,2.013012689929538,37.5
7,Geometria + cor,2,1.7301837841881647,44.85999941825867
7,Geometria + cor,3,1.606933233027988,45.44000029563904
7,Geometria + cor,4,1.5384176976733737,46.74000144004822
7,Geometria + cor,5,1.487550533888075,51.419997215270996
7,Geometria + cor,6,1.4588689568837483,53.200000524520874
7,Geometria + cor,7,1.4268974852455987,53.25999855995178
7,Geometria + cor,8,1.3941872138341267,55.3600013256073
7,Geometria + cor,9,1.3729099457846747,55.58000206947327
7,Geometria + cor,10,1.3479879863315158,57.22000002861023
7,Geometria + cor,11,1.3256253106223213,56.40000104904175
7,Geometria + cor,12,1.3006928638670179,58.639997243881226
7,Geometria + cor,13,1.2886232933680217,58.57999920845032
7,Geometria + cor,14,1.2684174121432834,59.700000286102295
7,Geometria + cor,15,1.2520961564805773,60.47999858856201
7,Geometria + cor,16,1.233346514723036,60.360002517700195
7,Geometria + cor,17,1.2160962761561076,60.32000184059143
7,Geometria + cor,18,1.208035348701477,61.44000291824341
7,Geometria + cor,19,1.1896311230129666,61.18000149726868
7,Geometria + cor,20,1.182032720014784,62.3199999332428
7,Geometria + Cutout,1,2.0184503510369196,36.37999892234802
7,Geometria + Cutout,2,1.7491439276589287,43.11999976634979
7,Geometria + Cutout,3,1.6442931836658055,44.359999895095825
7,Geometria + Cutout,4,1.5714905411614313,46.480000019073486
7,Geometria + Cutout,5,1.5241707506391737,49.66000020503998
7,Geometria + Cutout,6,1.4897582924524944,50.599998235702515
7,Geometria + Cutout,7,1.4608049693849352,51.260000467300415
7,Geometria + Cutout,8,1.4287320093578761,52.52000093460083
7,Geometria + Cutout,9,1.4108964197370741,52.93999910354614
7,Geometria + Cutout,10,1.3898828364478217,53.39999794960022
7,Geometria + Cutout,11,1.3751162201987372,53.17999720573425
7,Geometria + Cutout,12,1.346933154826694,55.559998750686646
7,Geometria + Cutout,13,1.3379971832063462,55.15999794006348
7,Geometria + Cutout,14,1.3151805644141303,56.620001792907715
7,Geometria + Cutout,15,1.3037691947301229,57.3199987411499
7,Geometria + Cutout,16,1.2889377964019775,57.840001583099365
7,Geometria + Cutout,17,1.2723701337602404,58.06000232696533
7,Geometria + Cutout,18,1.2658063732783,57.999998331069946
7,Geometria + Cutout,19,1.2478448731528389,59.460002183914185
7,Geometria + Cutout,20,1.2479358914693197,59.28000211715698
7,Geometria + Mixup,1,2.10514588815901,32.600000500679016
7,Geometria + Mixup,2,1.929997001944648,40.83999991416931
7,Geometria + Mixup,3,1.831378884294298,43.02000105381012
7,Geometria + Mixup,4,1.7775380100462173,47.620001435279846
7,Geometria + Mixup,5,1.754938506825765,48.739999532699585
7,Geometria + Mixup,6,1.6989573367648654,50.940001010894775
7,Geometria + Mixup,7,1.7041469257566664,51.45999789237976
7,Geometria + Mixup,8,1.6692506710476345,51.899999380111694
7,Geometria + Mixup,9,1.6700705511728922,52.560001611709595
7,Geometria + Mixup,10,1.6683947960747614,54.22000288963318
7,Geometria + Mixup,11,1.655696724234687,50.919997692108154
7,Geometria + Mixup,12,1.6512922178904215,55.14000058174133
7,Geometria + Mixup,13,1.5996002020094129,56.55999779701233
7,Geometria + Mixup,14,1.5980950150383844,56.84000253677368
7,Geometria + Mixup,15,1.5699345668792724,57.66000151634216
7,Geometria + Mixup,16,1.5933846718258329,58.06000232696533
7,Geometria + Mixup,17,1.5743042675442165,58.85999798774719
7,Geometria + Mixup,18,1.549022296333313,58.49999785423279
7,Geometria + Mixup,19,1.5588321951548259,58.88000130653381
7,Geometria + Mixup,20,1.5306254366344876,59.56000089645386
7,Geometria + CutMix,1,2.1636842407650416,35.179999470710754
7,Geometria + CutMix,2,2.0618203421698675,40.18000066280365
7,Geometria + CutMix,3,1.996128062057495,43.560001254081726
7,Geometria + CutMix,4,1.9375240695529514,46.36000096797943
7,Geometria + CutMix,5,1.9322939035203721,47.620001435279846
7,Geometria + CutMix,6,1.9070694374720256,45.9199994802475
7,Geometria + CutMix,7,1.8793335707770453,50.0
7,Geometria + CutMix,8,1.864472673755222,49.86000061035156
7,Geometria + CutMix,9,1.8887787006802028,50.6600022315979
7,Geometria + CutMix,10,1.8488884796354506,50.040000677108765
7,Geometria + CutMix,11,1.8526583553738065,49.03999865055084
7,Geometria + CutMix,12,1.8677239969465467,52.719998359680176
7,Geometria + CutMix,13,1.8266943022410076,53.380000591278076
7,Geometria + CutMix,14,1.8547841702355279,55.1800012588501
7,Geometria + CutMix,15,1.821046316825019,55.41999936103821
7,Geometria + CutMix,16,1.815297571521335,55.69999814033508
7,Geometria + CutMix,17,1.8098106493631998,55.900001525878906
7,Geometria + CutMix,18,1.7982426664776272,56.69999718666077
7,Geometria + CutMix,19,1.8149654499689738,55.41999936103821
7,Geometria + CutMix,20,1.7995498967912462,55.44000267982483
23,Sem augmentation,1,1.9417421811845568,38.960000872612
23,Sem augmentation,2,1.6152949891620212,45.80000042915344
23,Sem augmentation,3,1.481951114845276,48.179998993873596
23,Sem augmentation,4,1.4108818081325956,49.880000948905945
23,Sem augmentation,5,1.354685675154792,50.76000094413757
23,Sem augmentation,6,1.3109758898417154,52.399998903274536
23,Sem augmentation,7,1.2795450069639418,52.560001611709595
23,Sem augmentation,8,1.2364411679585774,52.85999774932861
23,Sem augmentation,9,1.2065111537509494,55.69999814033508
23,Sem augmentation,10,1.171482098282708,55.640000104904175
23,Sem augmentation,11,1.1436868344836766,55.320000648498535
23,Sem augmentation,12,1.1155285987430148,55.82000017166138
23,Sem augmentation,13,1.0795433343251546,56.940001249313354
23,Sem augmentation,14,1.057038048892551,56.779998540878296
23,Sem augmentation,15,1.0281384487575955,57.63999819755554
23,Sem augmentation,16,1.0049275939941407,58.30000042915344
23,Sem augmentation,17,0.9781728988011678,58.57999920845032
23,Sem augmentation,18,0.9559387401368883,58.88000130653381
23,Sem augmentation,19,0.9403082452032301,59.43999886512756
23,Sem augmentation,20,0.9223990350617303,57.35999941825867
